Date,Close
27-12-19,28.692
30-12-19,27.647
31-12-19,27.889
02-01-20,28.684
03-01-20,29.534
06-01-20,30.103
07-01-20,31.271
08-01-20,32.809
09-01-20,32.089
10-01-20,31.877
13-01-20,34.991
14-01-20,35.861
15-01-20,34.567
16-01-20,34.233
17-01-20,34.033
21-01-20,36.480
22-01-20,37.971
23-01-20,38.147
24-01-20,37.655
27-01-20,37.201
28-01-20,37.793
29-01-20,38.733
30-01-20,42.721
31-01-20,43.371
03-02-20,52.000
04-02-20,59.137
05-02-20,48.980
06-02-20,49.931
07-02-20,49.871
10-02-20,51.419
11-02-20,51.625
12-02-20,51.153
13-02-20,53.600
14-02-20,53.335
18-02-20,57.227
19-02-20,61.161
20-02-20,59.961
21-02-20,60.067
24-02-20,55.586
25-02-20,53.327
26-02-20,51.920
27-02-20,45.267
28-02-20,44.533
02-03-20,49.575
03-03-20,49.701
04-03-20,49.967
05-03-20,48.303
06-03-20,46.899
09-03-20,40.533
10-03-20,43.022
11-03-20,42.282
12-03-20,37.370
13-03-20,36.441
16-03-20,29.671
17-03-20,28.680
18-03-20,24.081
19-03-20,28.509
20-03-20,28.502
23-03-20,28.953
24-03-20,33.667
25-03-20,35.950
26-03-20,35.211
27-03-20,34.291
30-03-20,33.475
31-03-20,34.933
01-04-20,32.104
02-04-20,30.298
03-04-20,32.001
06-04-20,34.416
07-04-20,36.363
08-04-20,36.589
09-04-20,38.200
13-04-20,43.397
14-04-20,47.326
15-04-20,48.655
16-04-20,49.681
17-04-20,50.259
20-04-20,49.757
21-04-20,45.781
22-04-20,48.807
23-04-20,47.042
24-04-20,48.343
27-04-20,53.250
28-04-20,51.275
29-04-20,53.367
30-04-20,52.125
01-05-20,46.755
04-05-20,50.746
05-05-20,51.214
06-05-20,52.172
07-05-20,52.003
08-05-20,54.628
11-05-20,54.086
12-05-20,53.961
13-05-20,52.731
14-05-20,53.555
15-05-20,53.278
18-05-20,54.242
19-05-20,53.867
20-05-20,54.371
21-05-20,55.173
22-05-20,54.459
26-05-20,54.591
27-05-20,54.682
28-05-20,53.721
29-05-20,55.667
01-06-20,59.873
02-06-20,58.771
03-06-20,58.864
04-06-20,57.625
05-06-20,59.044
08-06-20,63.328
09-06-20,62.711
10-06-20,68.337
11-06-20,64.856
12-06-20,62.352
15-06-20,66.060
16-06-20,65.475
17-06-20,66.119
18-06-20,66.931
19-06-20,66.727
22-06-20,66.288
23-06-20,66.785
24-06-20,64.057
25-06-20,65.732
26-06-20,63.983
29-06-20,67.290
30-06-20,71.987
01-07-20,74.642
02-07-20,80.577
06-07-20,91.439
07-07-20,92.657
